Datum,Kurs
2021-06-14,266.52
2021-06-15,266.30
2021-06-16,266.07
2021-06-17,269.05
2021-06-18,267.91
2021-06-21,267.75
2021-06-22,270.72
2021-06-23,270.54
2021-06-24,272.86
2021-06-25,272.57
2021-06-28,273.20
2021-06-29,272.24
2021-06-30,267.12
2021-07-01,269.00
2021-07-02,269.00
2021-07-05,270.00
2021-07-06,272.00
2021-07-07,272.00
2021-07-08,272.00
2021-07-09,272.00
2021-07-12,275.00
2021-07-13,272.00
2021-07-14,272.00
2021-07-15,272.00
2021-07-16,272.00
2021-07-19,272.00
2021-07-20,272.00
2021-07-21,277.37
2021-07-22,272.00
2021-07-23,280.00
2021-07-26,280.00
2021-07-27,272.00
2021-07-28,272.00
2021-07-29,275.00
2021-07-30,275.00
2021-08-02,275.00
2021-08-03,275.00
2021-08-04,275.00
2021-08-05,275.00
2021-08-06,275.00
2021-08-09,277.00
2021-08-10,277.00
2021-08-11,277.00
2021-08-12,277.00
2021-08-13,277.00
2021-08-16,277.00
2021-08-17,278.00
2021-08-18,280.00
2021-08-19,277.00
2021-08-20,276.00
2021-08-23,276.00
2021-08-24,276.00
2021-08-25,276.25
2021-08-26,284.35
2021-08-27,283.06
2021-08-30,284.82
2021-08-31,284.97
2021-09-01,286.51
2021-09-02,280.00
2021-09-03,280.00
2021-09-06,280.00
2021-09-07,280.00
2021-09-08,280.11
2021-09-09,280.00
2021-09-10,280.00
2021-09-13,280.00
2021-09-14,280.00
2021-09-15,279.00
2021-09-16,279.00
2021-09-17,279.00
2021-09-20,274.73
2021-09-21,276.34
2021-09-22,275.00
2021-09-23,275.00
2021-09-24,275.00
2021-09-27,275.00
2021-09-28,275.00
2021-09-29,275.00
2021-09-30,275.00
2021-10-01,270.00
2021-10-04,270.00
2021-10-05,270.53
2021-10-06,270.71
2021-10-07,275.12
2021-10-08,275.64
2021-10-11,276.43
2021-10-12,274.88
2021-10-13,281.77
2021-10-14,276.38
2021-10-15,286.21
2021-10-18,279.43
2021-10-19,288.60
2021-10-20,287.22
2021-10-21,289.58
2021-10-22,289.27
2021-10-25,289.08
2021-10-26,291.11
2021-10-27,286.00
2021-10-28,289.63
2021-10-29,290.00
2021-11-01,292.01
2021-11-02,286.00
2021-11-03,293.37
2021-11-04,296.49
2021-11-05,297.37
2021-11-08,296.00
2021-11-09,295.53
2021-11-10,295.53
2021-11-11,289.81
2021-11-12,299.00
2021-11-15,299.00
2021-11-16,299.00
2021-11-17,299.00
2021-11-18,299.00
2021-11-19,299.00
2021-11-22,299.00
2021-11-23,299.00
2021-11-24,299.00
2021-11-25,299.00
2021-11-26,290.00
2021-11-29,290.00
2021-11-30,291.36
2021-12-01,291.63
2021-12-02,285.00
2021-12-03,285.00
2021-12-06,285.00
2021-12-07,296.46
2021-12-08,295.00
2021-12-09,295.00
2021-12-10,295.00
2021-12-13,295.00
2021-12-14,294.71
2021-12-15,295.00
2021-12-16,295.75
