Datum;Schluss
2022-06-02;52.6
2022-06-03;52.02
2022-06-06;52.52
2022-06-07;52.18
2022-06-08;52.68
2022-06-09;51.87
2022-06-10;49.63
2022-06-13;49.08
2022-06-14;48.39
2022-06-15;49.03
2022-06-16;45.67
2022-06-17;45.3
2022-06-20;45.75
2022-06-21;46.08
2022-06-22;43.4
2022-06-23;41.43
2022-06-24;42.22
2022-06-27;42.81
2022-06-28;43.03
2022-06-29;41.58
2022-06-30;41.53
2022-07-01;41.27
2022-07-04;41.89
2022-07-05;39.33
2022-07-06;39.75
2022-07-07;41.3
2022-07-08;42.92
2022-07-11;41.27
2022-07-12;42.53
2022-07-13;41.45
2022-07-14;40.4
2022-07-15;41.46
2022-07-18;42.72
2022-07-19;44.69
2022-07-20;44.67
2022-07-21;43.67
2022-07-22;43.14
2022-07-25;43.14
2022-07-26;42.19
2022-07-27;41.62
2022-07-28;42.55
2022-07-29;43.42
2022-08-01;43.34
2022-08-02;43.74
2022-08-03;43.87
2022-08-04;44.23
2022-08-05;44.02
2022-08-08;44.8
2022-08-09;44
2022-08-10;44.45
2022-08-11;43.43
2022-08-12;44.16
2022-08-15;44.06
2022-08-16;44.75
2022-08-17;42.69
2022-08-18;43.44
2022-08-19;43.04
2022-08-22;41.18
2022-08-23;41.81
2022-08-24;41.61
2022-08-25;42.03
2022-08-26;40.94
2022-08-29;42.24
2022-08-30;42.19
2022-08-31;42.07
2022-09-01;41.31
2022-09-02;43
2022-09-05;41.27
2022-09-06;42.05
2022-09-07;42.94
2022-09-08;42.5
2022-09-09;43.49
2022-09-12;44.92
2022-09-13;44.21
2022-09-14;42.77
2022-09-15;42.26
2022-09-16;41.39
2022-09-19;42.4
2022-09-20;41.6
2022-09-21;41.7
2022-09-22;41
2022-09-23;39.79
2022-09-26;39.81
2022-09-27;39.5
2022-09-28;39.42
2022-09-29;38.85
2022-09-30;39.6
2022-10-03;40.94
2022-10-04;42.3
2022-10-05;41.92
2022-10-06;41.27
2022-10-07;40.7
2022-10-10;43.19
2022-10-11;41.47
2022-10-12;42.14
2022-10-13;42.97
2022-10-14;43.32
2022-10-17;44.08
2022-10-18;44.93
2022-10-19;45.05
2022-10-20;45.45
2022-10-21;46.08
2022-10-24;46.6
2022-10-25;45.95
2022-10-26;45.5
2022-10-27;46.01
2022-10-28;45.3
2022-10-31;45.44
2022-11-01;45.5
2022-11-02;45.06
2022-11-03;44.54
2022-11-04;46.82
2022-11-07;47.61
2022-11-08;48.3
2022-11-09;47.55
2022-11-10;48.91
2022-11-11;50.68
2022-11-14;51.28
2022-11-15;50.3
2022-11-16;49.57
2022-11-17;48.96
2022-11-18;49.63
2022-11-21;48.67
2022-11-22;49.52
2022-11-23;49.27
2022-11-24;49.89
2022-11-25;49.61
2022-11-28;48.91
2022-11-29;49.06
2022-11-30;48.52
2022-12-01;47.86
2022-12-02;48.73
2022-12-05;47.97
2022-12-06;47.93
2022-12-07;47.43
2022-12-08;47.1
2022-12-09;47.72
2022-12-12;46.7
2022-12-13;47.54
2022-12-14;47.23
2022-12-15;45.82
2022-12-16;45.79
2022-12-19;45.52
2022-12-20;45.8
2022-12-21;46.5
2022-12-22;45.69
2022-12-23;46.24
2022-12-27;46.68
2022-12-28;46.55
2022-12-29;46.76
2022-12-30;46.39
2023-01-02;47.99
2023-01-03;48.89
2023-01-04;50.96
2023-01-05;51.62
2023-01-06;52.81
2023-01-09;52.84
2023-01-10;51.7
2023-01-11;52.17
2023-01-12;53.09
2023-01-13;52.76
2023-01-16;53
2023-01-17;52.84
2023-01-18;53.13
2023-01-19;52.18
2023-01-20;52.46
2023-01-23;52.57
2023-01-24;53.04
2023-01-25;52.87
2023-01-26;52.62
2023-01-27;52.79
2023-01-30;52.78
2023-01-31;52.4
2023-02-01;52.74
2023-02-02;53.84
2023-02-03;54.04
2023-02-06;52.95
2023-02-07;52.95
2023-02-08;52.86
2023-02-09;52.85
2023-02-10;51.29
2023-02-13;51.67
2023-02-14;51.06
2023-02-15;51.7
2023-02-16;52.4
2023-02-17;52.24
2023-02-20;53.11
2023-02-21;52.49
2023-02-22;52.36
2023-02-23;52.17
2023-02-24;48.07
2023-02-27;47.89
2023-02-28;48.48
2023-03-01;48.38
2023-03-02;48.33
2023-03-03;49.17
2023-03-06;48.26
2023-03-07;48.02
2023-03-08;48.29
2023-03-09;47.99
2023-03-10;47.55
2023-03-13;45.7
2023-03-14;46.41
2023-03-15;44.54
2023-03-16;45.09
2023-03-17;44.92
2023-03-20;45.4
2023-03-21;46.17
2023-03-22;46.56
2023-03-23;46.38
2023-03-24;45.92
2023-03-27;45.93
2023-03-28;46.39
2023-03-29;47.18
2023-03-30;47.9
2023-03-31;48.36
2023-04-03;48.79
2023-04-04;49.01
2023-04-05;48.36
2023-04-06;48.41
2023-04-11;49.11
2023-04-12;49.43
2023-04-13;48.81
2023-04-14;49.71
2023-04-17;50.06
2023-04-18;50.52
2023-04-19;50.83
2023-04-20;50.61
2023-04-21;49.61
2023-04-24;50.24
2023-04-25;50.16
2023-04-26;50.15
2023-04-27;48
2023-04-28;46.85
2023-05-02;45.19
